func,grid,k,feature_idx,feature_name,test_r2,attribution,n_tp,tp_norm,tp_raw,first_tp_norm,first_tp_raw,ckpt_path
exponential,10,7,0,Exponent (x0),0.9601,0.94715,3,"[0.25139, 0.59474, 1.06]","[-0.6208225571097656, 0.23656855626790016, 1.3983853304344729]",0.25139,-0.6208225571097656,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k7
exponential,10,7,1,Linear (x1),0.9601,0.36095,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k7
exponential,10,8,0,Exponent (x0),0.8698,0.95269,2,"[0.25139, 0.42255]","[-0.6208225571097656, -0.19341302466263813]",0.25139,-0.6208225571097656,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k8
exponential,10,8,1,Linear (x1),0.8698,0.34303,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k8
exponential,15,2,0,Exponent (x0),0.983,0.98785,1,[0.14933],[-0.8756800990678976],0.14933,-0.8756800990678976,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k2
exponential,15,2,1,Linear (x1),0.983,0.20896,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k2
exponential,15,3,0,Exponent (x0),0.9697,0.96057,2,"[0.14933, 0.5355]","[-0.8756800990678976, 0.08863831145504744]",0.14933,-0.8756800990678976,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k3
exponential,15,3,1,Linear (x1),0.9697,0.32684,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k3
exponential,15,4,0,Exponent (x0),0.9791,0.96548,3,"[0.42255, 0.59474, 0.70331]","[-0.19341302466263813, 0.23656855626790016, 0.5076824434949662]",0.42255,-0.19341302466263813,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k4
exponential,15,4,1,Linear (x1),0.9791,0.30804,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k4
exponential,15,5,0,Exponent (x0),0.9547,0.93267,4,"[0.14933, 0.36063, 0.59474, 0.9]","[-0.8756800990678976, -0.3480355898012577, 0.23656855626790016, 0.9988438184483756]",0.14933,-0.8756800990678976,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k5
exponential,15,5,1,Linear (x1),0.9547,0.40643,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k5
exponential,15,6,0,Exponent (x0),0.9628,0.94189,5,"[0.25139, 0.42255, 0.59474, 0.9, 1.00667]","[-0.6208225571097656, -0.19341302466263813, 0.23656855626790016, 0.9988438184483756, 1.2652131502206065]",0.25139,-0.6208225571097656,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k6
exponential,15,6,1,Linear (x1),0.9628,0.38048,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k6
exponential,15,7,0,Exponent (x0),0.953,0.92932,5,"[0.20366, 0.36063, 0.47468, 0.84867, 1.00667]","[-0.7400107844041184, -0.3480355898012577, -0.06323740578866777, 0.8706659071343357, 1.2652131502206065]",0.20366,-0.7400107844041184,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k7
exponential,15,7,1,Linear (x1),0.953,0.41151,1,[0.4379],[-0.1554069997344556],0.4379,-0.1554069997344556,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k7
exponential,15,8,0,Exponent (x0),0.6259,0.95354,2,"[0.20366, 0.30196]","[-0.7400107844041184, -0.49454246797765977]",0.20366,-0.7400107844041184,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k8
exponential,15,8,1,Linear (x1),0.6259,0.35438,2,"[0.2659, 0.39616]","[-0.5847989738471249, -0.25960944740575104]",0.2659,-0.5847989738471249,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g15_k8
exponential,30,2,0,Exponent (x0),0.9836,0.98696,6,"[0.20366, 0.25139, 0.36063, 0.47468, 0.56405, 0.68356]","[-0.7400107844041184, -0.6208225571097656, -0.3480355898012577, -0.06323740578866777, 0.15993150000006687, 0.4583640381091822]",0.20366,-0.7400107844041184,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k2
exponential,30,2,1,Linear (x1),0.9836,0.21256,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k2
exponential,30,3,0,Exponent (x0),0.9109,0.89487,6,"[0.14933, 0.22332, 0.30196, 0.38941, 0.47468, 0.74243]","[-0.8756800990678976, -0.6909171211188267, -0.49454246797765977, -0.27616806033275854, -0.06323740578866777, 0.6053703431755671]",0.14933,-0.8756800990678976,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k3
exponential,30,3,1,Linear (x1),0.9109,0.49182,2,"[0.19838, 0.24251]","[-0.7533602883360053, -0.6431912893965164]",0.19838,-0.7533602883360053,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k3
exponential,30,4,0,Exponent (x0),0.9624,0.9511,9,"[0.14933, 0.22332, 0.27906, 0.38941, 0.50061, 0.59474, 0.70331, 0.77389, 0.84867]","[-0.8756800990678976, -0.6909171211188267, -0.5517268468806701, -0.27616806033275854, 0.0015132904975791572, 0.23656855626790016, 0.5076824434949662, 0.6839301929698333, 0.8706659071343357]",0.14933,-0.8756800990678976,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k4
exponential,30,4,1,Linear (x1),0.9624,0.35738,4,"[0.22361, 0.55475, 0.62995, 0.87805]","[-0.6903744772495947, 0.13630493151592452, 0.32403909694192884, 0.9434120549497965]",0.22361,-0.6903744772495947,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k4
exponential,30,5,0,Exponent (x0),0.8794,0.88298,6,"[0.12428, 0.18468, 0.25139, 0.33359, 0.42255, 0.5355]","[-0.9382333170382209, -0.7874063962634691, -0.6208225571097656, -0.4155581053269082, -0.19341302466263813, 0.08863831145504744]",0.12428,-0.9382333170382209,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k5
exponential,30,5,1,Linear (x1),0.8794,0.51501,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k5
exponential,30,6,0,Exponent (x0),0.9171,0.91121,7,"[0.18468, 0.22332, 0.27906, 0.47468, 0.61845, 0.77389, 0.92667]","[-0.7874063962634691, -0.6909171211188267, -0.5517268468806701, -0.06323740578866777, 0.29577561407534, 0.6839301929698333, 1.0654423942275582]",0.18468,-0.7874063962634691,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k6
exponential,30,6,1,Linear (x1),0.9171,0.45641,2,"[0.58166, 0.9]","[0.20348480374483105, 0.9982094609484773]",0.58166,0.20348480374483105,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k6
exponential,30,7,0,Exponent (x0),0.8978,0.88611,9,"[0.14933, 0.20366, 0.27906, 0.33359, 0.5355, 0.59474, 0.72201, 0.9, 0.95333]","[-0.8756800990678976, -0.7400107844041184, -0.5517268468806701, -0.4155581053269082, 0.08863831145504744, 0.23656855626790016, 0.5543788577083414, 0.9988438184483756, 1.1320159986622416]",0.14933,-0.8756800990678976,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k7
exponential,30,7,1,Linear (x1),0.8978,0.50874,3,"[0.29702, 0.75486, 0.87805]","[-0.507108984112321, 0.635872535816426, 0.9434120549497965]",0.29702,-0.507108984112321,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k7
exponential,30,8,0,Exponent (x0),0.3708,0.85936,2,"[0.18468, 0.22332]","[-0.7874063962634691, -0.6909171211188267]",0.18468,-0.7874063962634691,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k8
exponential,30,8,1,Linear (x1),0.3708,0.57784,1,[0.22361],[-0.6903744772495947],0.22361,-0.6903744772495947,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g30_k8
logarithm,3,2,0,Log (x0),0.9997,0.71578,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k2
logarithm,3,2,1,Linear (x1),0.9997,0.66312,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k2
logarithm,3,3,0,Log (x0),1.0,0.71586,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k3
logarithm,3,3,1,Linear (x1),1.0,0.66256,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k3
logarithm,3,4,0,Log (x0),1.0,0.71585,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k4
logarithm,3,4,1,Linear (x1),1.0,0.66246,1,[0.62995],[0.32403909694192884],0.62995,0.32403909694192884,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k4
logarithm,3,5,0,Log (x0),1.0,0.71581,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k5
logarithm,3,5,1,Linear (x1),1.0,0.66259,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k5
logarithm,3,6,0,Log (x0),0.9993,0.71648,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k6
logarithm,3,6,1,Linear (x1),0.9993,0.66192,1,[0.9],[0.9982094609484773],0.9,0.9982094609484773,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k6
logarithm,3,7,0,Log (x0),0.9979,0.7185,1,[0.36063],[-0.3480355898012577],0.36063,-0.3480355898012577,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k7
logarithm,3,7,1,Linear (x1),0.9979,0.66093,1,[1.43238],[2.3272774794258195],1.43238,2.3272774794258195,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k7
logarithm,3,8,0,Log (x0),0.9986,0.7166,1,[1.96667],[3.6624622221371905],1.96667,3.6624622221371905,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k8
