func,grid,k,feature_idx,feature_name,test_r2,n_inflection,inflection_points_norm
exponential,10,5,0,Exponent (x0),0.966,3,"[0.25138542, 0.68355876, 0.97999996]"
exponential,10,5,1,Linear (x1),0.966,0,[]
exponential,15,2,0,Exponent (x0),0.9777,2,"[0.36062765, 0.7985275]"
exponential,15,2,1,Linear (x1),0.9777,0,[]
exponential,15,3,0,Exponent (x0),0.9791,4,"[0.25138542, 0.5355033, 0.6459112, 0.8486679]"
exponential,15,3,1,Linear (x1),0.9791,0,[]
exponential,15,4,0,Exponent (x0),0.9698,1,[0.5355033]
exponential,15,4,1,Linear (x1),0.9698,1,[0.6990735]
exponential,15,5,0,Exponent (x0),0.9535,4,"[0.14933406, 0.36062765, 0.59474057, 0.9533333]"
exponential,15,5,1,Linear (x1),0.9535,0,[]
exponential,20,2,0,Exponent (x0),,3,"[0.2921076, 0.5006053, 0.68355876]"
exponential,20,2,1,Linear (x1),,0,[]
exponential,20,3,0,Exponent (x0),,2,"[0.13847609, 0.5006053]"
exponential,20,3,1,Linear (x1),,0,[]
exponential,20,4,0,Exponent (x0),,4,"[0.33359137, 0.59474057, 0.68355876, 0.785208]"
exponential,20,4,1,Linear (x1),,0,[]
exponential,20,5,0,Exponent (x0),,5,"[0.13847609, 0.2921076, 0.4225468, 0.5493256, 0.9]"
exponential,20,5,1,Linear (x1),,2,"[0.31409055, 0.8261582]"
exponential,30,2,0,Exponent (x0),0.9887,1,[0.18468274]
exponential,30,2,1,Linear (x1),0.9887,0,[]
exponential,30,3,0,Exponent (x0),0.9568,6,"[0.18468274, 0.30195788, 0.4509889, 0.5355033, 0.61844665, 0.7424341]"
exponential,30,3,1,Linear (x1),0.9568,0,[]
exponential,30,4,0,Exponent (x0),0.9517,8,"[0.14933406, 0.22331752, 0.2790623, 0.38940734, 0.5006053, 0.68355876, 0.7424341, 0.82633287]"
exponential,30,4,1,Linear (x1),0.9517,5,"[0.22361022, 0.33011433, 0.5051319, 0.7548603, 0.8000908]"
exponential,30,5,0,Exponent (x0),0.8794,6,"[0.12427632, 0.18468274, 0.25138542, 0.33359137, 0.4225468, 0.5355033]"
exponential,30,5,1,Linear (x1),0.8794,0,[]
exponential,50,2,0,Exponent (x0),0.9762,7,"[0.20548156, 0.25138542, 0.28408897, 0.5423251, 0.6076643, 0.64121836, 0.81202173]"
exponential,50,2,1,Linear (x1),0.9762,4,"[0.3246913, 0.42757183, 0.56363595, 0.7943798]"
exponential,50,3,0,Exponent (x0),0.838,10,"[0.14399391, 0.23613483, 0.28408897, 0.33359137, 0.36643958, 0.4732432, 0.7424341, 0.77994704, 0.81202173, 0.84989846]"
exponential,50,3,1,Linear (x1),0.838,0,[]
exponential,50,4,0,Exponent (x0),0.8684,10,"[0.11387416, 0.17182098, 0.19574887, 0.21988009, 0.2712988, 0.31284165, 0.4225468, 0.456782, 0.5006053, 0.87093824]"
exponential,50,4,1,Linear (x1),0.8684,0,[]
exponential,50,5,0,Exponent (x0),0.7862,9,"[0.11387416, 0.14399391, 0.21988009, 0.29645878, 0.33359137, 0.4225468, 0.7915748, 0.82633287, 0.87093824]"
exponential,50,5,1,Linear (x1),0.7862,1,[0.16553184]
exponential,70,2,0,Exponent (x0),0.9359,12,"[0.120872095, 0.14082724, 0.1938783, 0.2748721, 0.3041303, 0.34355834, 0.4138557, 0.55305177, 0.68355876, 0.6993781, 0.7424341, 0.81360275]"
exponential,70,2,1,Linear (x1),0.9359,12,"[0.16157217, 0.23924398, 0.307189, 0.37067997, 0.4133784, 0.45559534, 0.523694, 0.58166367, 0.64647496, 0.76649547, 0.78194433, 0.8492678]"
exponential,70,3,0,Exponent (x0),0.9766,20,"[0.13183492, 0.17476256, 0.1938783, 0.20923077, 0.25138542, 0.29486737, 0.33359137, 0.35440233, 0.3965362, 0.43529186, 0.48546156, 0.52785265, 0.56725717, 0.61229175, 0.72370857, 0.76751244, 0.81360275, 0.8449052, 0.8671391, 0.8902669]"
exponential,70,3,1,Linear (x1),0.9766,5,"[0.16157217, 0.46383664, 0.5341074, 0.6602026, 0.8261582]"
exponential,70,4,0,Exponent (x0),0.9564,15,"[0.120872095, 0.15707012, 0.18468274, 0.20923077, 0.31664395, 0.35440233, 0.3815928, 0.44887602, 0.48546156, 0.55305177, 0.70885813, 0.758655, 0.8003686, 0.8671391, 0.8902669]"
exponential,70,4,1,Linear (x1),0.9564,0,[]
exponential,70,5,0,Exponent (x0),0.6501,12,"[0.108429626, 0.14082724, 0.17476256, 0.20923077, 0.2281258, 0.2748721, 0.29486737, 0.35440233, 0.3965362, 0.59474057, 0.8371201, 0.8671391]"
exponential,70,5,1,Linear (x1),0.6501,1,[0.13549778]
exponential,100,2,0,Exponent (x0),0.9639,18,"[0.13847609, 0.19213024, 0.21988009, 0.3414968, 0.4225468, 0.44955447, 0.4732432, 0.51247704, 0.5493256, 0.58487827, 0.62208766, 0.64121836, 0.6751823, 0.69503534, 0.71202147, 0.81202173, 0.8401821, 0.88165736]"
exponential,100,2,1,Linear (x1),0.9639,0,[]
exponential,100,3,0,Exponent (x0),0.7214,19,"[0.13044569, 0.15339318, 0.19574887, 0.25733694, 0.2921076, 0.31284165, 0.3572052, 0.41553897, 0.44955447, 0.47816208, 0.5228172, 0.6076643, 0.70144963, 0.7265362, 0.77994704, 0.7915748, 0.81716007, 0.84989846, 0.8938637]"
