Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol]
644.968,0.353436,4.14854,4.75041,1.77217,23.1855,1.0,-3026.8232421875
3298.91,0.663802,8.99977,11.22584,0.641974,905.302,1.0,-2471.812255859375
2080.61,0.57034,5.57585,7.06688,0.91036,490.838,1.0,-2530.9453125
3508.81,0.80088,7.95544,16.2068,0.601869,5042.17,1.0,-1531.02392578125
454.441,0.361265,3.36487,4.72789,1.88831,38.2631,1.0,-3134.84423828125
4998.89,0.875434,13.94045,20.40316,0.354321,6215.08,1.0,-1317.4744873046875
281.984,0.223607,4.0593,4.83659,2.06925,12.3589,1.0,-3578.211181640625
5818.76,0.89264,11.55354,16.14609,0.253015,5472.85,1.0,-1333.832763671875
551.448,0.405176,3.35059,3.99692,1.1531,5.51081,1.0,-3739.58056640625
2047.0,0.532252,4.78643,6.76793,0.844356,234.513,1.0,-2478.472900390625
3723.09,0.66337,5.34507,7.40277,0.732104,1052.92,1.0,-1985.6583251953125
3599.45,0.790365,15.05917,16.39408,0.423142,3076.99,1.0,-2047.52587890625
3214.55,0.760576,9.90739,12.51924,0.68555,1922.57,1.0,-1918.34375
3749.61,0.814955,9.16997,15.21488,0.527592,2465.1,1.0,-1415.572021484375
3294.45,0.804889,14.40674,14.59212,0.500633,875.781,1.0,-2251.187255859375
425.854,0.327509,3.71449,5.07688,1.98234,65.4459,1.0,-3347.348876953125
990.162,0.348465,4.9034,5.88243,1.15351,122.878,1.0,-2592.78662109375
4096.78,0.825036,9.74391,13.41209,0.470346,1792.2,1.0,-1688.783447265625
4377.77,0.759125,10.25896,11.61651,0.496368,1224.62,1.0,-1520.8787841796875
4126.13,0.800135,7.99949,12.23515,0.536418,1997.1,1.0,-1289.549072265625
4713.21,0.797852,10.61739,13.01391,0.422209,2133.89,1.0,-1655.0426025390625
1261.57,0.417392,5.93272,6.46305,0.915886,170.179,1.0,-3779.779541015625
1948.24,0.597113,6.41806,7.56456,0.846721,218.564,1.0,-2560.934814453125
3692.56,0.735977,6.38499,7.97707,0.634975,793.827,1.0,-1982.070068359375
4078.24,0.806832,8.49393,15.29946,0.492916,2463.87,1.0,-1392.1322021484375
3126.29,0.681359,4.30179,10.39751,0.791466,840.686,1.0,-2942.483642578125
3994.95,0.752687,7.40411,10.18959,0.582961,846.476,1.0,-1720.505859375
1563.91,0.460969,3.8681,5.77666,0.992452,382.59,1.0,-2701.310546875
2357.78,0.693981,7.7203,8.32341,0.851304,528.312,1.0,-2578.994873046875
984.903,0.554738,8.8905,11.57421,1.54969,1129.93,1.0,-2058.7373046875
1608.89,0.623108,6.25129,6.51399,0.97911,86.8513,1.0,-2754.076171875
4407.6,0.85799,13.01007,20.1178,0.420298,5862.04,1.0,-1519.6507568359375
4661.57,0.846661,10.46127,12.69389,0.410441,4271.67,1.0,-1405.6802978515625
1497.43,0.523983,4.0124,7.20106,1.07606,130.76,1.0,-2984.392333984375
3568.57,0.747939,7.50258,13.10108,0.632253,1861.65,1.0,-1527.4725341796875
702.023,0.317198,4.24273,4.85584,1.21588,47.3801,1.0,-3248.416015625
2521.9,0.560779,4.37771,6.13496,0.841019,283.74,1.0,-2512.762451171875
597.555,0.373613,4.03728,5.53246,1.42939,22.3528,1.0,-3541.145751953125
384.19,0.217751,5.31658,6.24429,1.61602,24.7632,1.0,-2816.52880859375
285.692,0.155003,4.52085,4.82319,1.5993,19.4721,1.0,-3086.00244140625
295.776,0.177715,3.81425,5.99013,1.77721,45.1047,1.0,-2487.281982421875
280.851,0.145227,3.73518,4.19981,1.24278,12.4229,1.0,-3379.900146484375
4920.04,0.815331,10.51985,14.08166,0.413823,2170.0,1.0,-1610.6778564453125
1609.85,0.511523,4.70183,6.70631,1.1491,543.626,1.0,-2269.970947265625
6769.56,0.960381,24.03089,25.06728,0.114055,27251.2,1.0,-675.9281005859375
334.709,0.139588,3.79024,4.41617,1.30275,15.2294,1.0,-2900.779296875
245.691,0.122818,4.14684,5.73788,1.57122,19.8504,1.0,-3022.91357421875
637.571,0.300053,7.01866,8.25531,1.57523,284.45,1.0,-1875.107666015625
1271.43,0.466858,4.33557,7.045,1.02667,122.848,1.0,-3334.610595703125
4239.97,0.746514,7.14527,10.9847,0.571372,2316.45,1.0,-1524.5263671875
2792.22,0.655249,4.99354,9.18517,0.806587,1037.59,1.0,-2333.385498046875
917.931,0.455252,5.67283,6.82957,1.42809,151.191,1.0,-2458.771240234375
1022.92,0.522574,3.36179,4.28327,0.825751,14.3437,1.0,-2754.31884765625
886.511,0.35866,9.05954,9.41113,1.15186,163.647,1.0,-1579.685302734375
778.634,0.396809,3.62499,7.17007,1.45709,228.292,1.0,-2657.281982421875
1661.3,0.548408,4.25498,5.84228,1.05726,389.764,1.0,-2790.773193359375
3311.68,0.737479,10.40192,10.94533,0.588886,1215.34,1.0,-2138.1884765625
470.191,0.169878,4.93367,5.33961,1.24252,17.1542,1.0,-2521.4716796875
3465.02,0.712052,6.05581,7.8849,0.677875,889.124,1.0,-2065.106201171875
202.828,0.291728,3.34967,4.09201,1.75648,1.74795,1.0,-4160.54052734375
1764.17,0.490712,5.20376,6.0209,1.01002,245.21,1.0,-2657.153564453125
651.615,0.496847,3.31669,7.50782,1.35238,114.091,1.0,-3015.797607421875
1670.49,0.489027,5.86779,6.68698,0.939722,119.005,1.0,-2313.7138671875
3642.93,0.806441,14.14513,14.65332,0.529463,2410.9,1.0,-1636.104736328125
3690.35,0.720657,7.72617,10.59061,0.586173,2103.75,1.0,-1812.9290771484375
6421.92,0.938525,18.6299,26.03778,0.162011,20066.8,1.0,-887.00732421875
1471.7,0.674459,7.0537,7.46848,1.05776,119.351,1.0,-2833.3671875
1758.14,0.598118,19.25829,19.62001,0.656675,1152.29,1.0,-1432.0013427734375
429.836,0.209559,4.81002,4.97387,1.49918,30.2905,1.0,-2703.75732421875
500.412,0.264619,5.24128,6.46734,1.7562,208.255,1.0,-2453.3505859375
865.784,0.592226,5.12843,5.97043,1.036,306.006,1.0,-2619.488037109375
2273.01,0.666595,8.61784,9.46963,0.752282,358.818,1.0,-2535.479248046875
4687.57,0.868049,13.94298,20.39524,0.37395,6117.46,1.0,-1463.0467529296875
2569.92,0.681012,10.80237,11.51264,0.658836,584.985,1.0,-2793.910888671875
2537.65,0.669009,9.54981,10.84988,0.673606,1947.01,1.0,-1884.86669921875
481.842,0.24546,4.27678,4.73178,1.49467,12.4007,1.0,-2968.9501953125
724.455,0.363761,3.39416,4.95312,1.09124,20.9723,1.0,-3371.054931640625
2456.19,0.587285,5.48087,6.20741,0.762846,337.038,1.0,-2984.564208984375
250.314,0.150844,4.13302,4.59747,1.41108,19.2458,1.0,-3427.323974609375
3309.91,0.65725,5.53736,6.59033,0.744957,456.72,1.0,-2164.038330078125
3260.41,0.697679,7.44191,9.43108,0.727311,377.13,1.0,-1635.1531982421875
