Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol],CO2 Uptake [g/g]
2050.89,0.586607,6.47866,7.0501,0.807828,254.129,1.0,-2344.89599609375,1.217669129371643
4494.53,0.84056,9.91218,14.58177,0.416311,1961.79,1.0,-1537.930908203125,0.3591012954711914
6214.91,0.876889,11.16171,15.33368,0.300723,2105.79,1.0,-1047.593994140625,0.2904486358165741
1150.04,0.413377,8.71411,9.28808,1.02858,138.552,1.0,-1911.7398681640625,0.22706729173660278
1427.6,0.427086,3.88694,5.73732,1.10551,73.346,1.0,-2437.599365234375,0.47727975249290466
2094.32,0.595695,5.06754,6.86832,0.881737,544.566,1.0,-3962.263427734375,9.25832748413086
2266.29,0.663214,7.76399,8.22025,0.77135,294.878,1.0,-2622.4287109375,1.647810697555542
798.929,0.391614,10.34029,10.58098,1.33531,228.265,1.0,-2061.2861328125,0.22166146337985992
3224.0,0.828103,35.05235,35.69315,0.311994,7458.99,1.0,-2174.306640625,0.6705898642539978
1138.63,0.508628,4.53064,5.77113,1.14359,286.14,1.0,-2907.042236328125,2.941601276397705
1665.65,0.622323,5.93281,7.34246,0.986513,126.206,1.0,-2598.040771484375,2.8448731899261475
3718.89,0.786418,12.57395,15.59001,0.538275,3812.62,1.0,-1938.759033203125,0.510890543460846
3254.9,0.645102,8.30154,9.96929,0.639911,1104.85,1.0,-1877.153564453125,0.39739790558815
3172.82,0.711352,6.42244,14.0095,0.679504,1447.43,1.0,-1502.6229248046875,0.22914230823516846
1330.07,0.46516,5.36413,6.78088,1.00127,74.2881,1.0,-2647.749267578125,2.2588272094726562
899.765,0.427262,3.57045,5.3686,1.31605,91.6038,1.0,-3224.0537109375,2.992550849914551
4051.56,0.821037,9.72716,11.1681,0.484625,1386.38,1.0,-1644.4202880859375,0.46277186274528503
316.883,0.18142,3.52111,4.18919,1.35803,12.487,1.0,-3391.1435546875,0.9459095001220703
6744.58,0.953332,23.86773,32.41084,0.121656,30000.0,1.0,-776.0430908203125,0.3261380195617676
450.303,0.276434,5.26466,5.4862,1.5775,40.766,1.0,-3066.44287109375,2.7968506813049316
371.669,0.195606,5.42889,5.99199,1.50056,58.7417,1.0,-3214.20703125,0.713131844997406
116.565,0.115039,3.53045,3.93033,1.5557,1.57814,1.0,-4207.75439453125,3.1338789463043213
4398.04,0.733523,5.45071,7.64703,0.621235,720.695,1.0,-1842.444580078125,0.622128427028656
2367.99,0.697585,10.44982,11.29164,0.724033,466.844,1.0,-1801.1260986328125,0.45697569847106934
1782.19,0.547196,13.17135,13.67113,0.770725,433.314,1.0,-1726.23046875,0.15717947483062744
333.364,0.226655,3.54059,4.07425,1.54706,5.30463,1.0,-3856.098388671875,4.745693206787109
3290.78,0.78339,11.29433,14.60504,0.575839,1521.77,1.0,-1946.2984619140625,0.43064945936203003
4458.96,0.764911,9.19719,12.34896,0.480455,1237.31,1.0,-1423.33740234375,0.27006328105926514
319.532,0.197535,4.94412,5.40904,1.5909,31.0201,1.0,-3197.4013671875,2.1014440059661865
710.721,0.319341,3.54793,5.89574,1.34286,75.0005,1.0,-2920.81201171875,1.2570679187774658
1923.44,0.58603,5.40264,7.32565,0.994311,258.612,1.0,-2436.180908203125,1.3291429281234741
2332.16,0.681904,7.16148,8.13779,0.783917,291.611,1.0,-2469.358154296875,1.655403733253479
341.97,0.25238,3.70725,4.30748,1.50797,5.57415,1.0,-3858.565185546875,3.650286912918091
515.26,0.276198,3.75506,5.82008,1.30962,91.7972,1.0,-3859.60009765625,1.7595402002334595
540.228,0.244715,4.38312,5.03833,1.39948,30.4299,1.0,-2941.740234375,1.1656954288482666
720.007,0.43919,4.43745,4.78458,1.05056,20.1122,1.0,-3703.51708984375,9.456527709960938
1110.23,0.504482,4.01427,7.5193,1.29411,199.77,1.0,-2936.00537109375,2.9253759384155273
