Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
-0.05072434221481669,-0.11813279937555007,0.0,-0.0026255010546689383,-0.01689586867937275,0.019220007270923822
-0.050724342402342394,-0.11813280059383639,0.0,-0.0026254991947401566,0.006809491322201211,-0.01827008957964911
0.051935770571872146,-0.13630944303081685,0.0,0.003704188868578054,-0.016895871142138873,-0.01827008904685499
0.09524174576828953,0.12350780269897468,0.0,0.00392197394229396,-0.022779239352482064,-0.0184758764698442
-0.07046622953076925,0.12350779856574567,0.0,0.003921952666908826,-0.02277924234096039,-0.018475878202007162
0.09524173163352923,-0.04576404446629264,0.0,0.003921952124122392,-0.022779242185254903,-0.018475876867596535
0.09524174576828953,0.12350780269897468,0.0,0.00392197394229396,-0.022779239352482064,-0.0184758764698442
0.09524173966880575,0.12350779509579295,0.0,0.0006064195035530573,-0.022779239169904004,-0.018475876481291693
0.09524173858730743,0.12350778944499323,0.0,0.003921961564822968,0.0392238822049694,-0.018475889138353543
0.09524174600209033,0.1235078094423322,0.0,0.003921962098005077,-0.02277925199712629,0.009978802411254317
-0.07046623509095908,-0.04576403484446929,0.0,0.000606409776955863,0.03922389767190909,0.009978795783924105
0.0075091629716432075,-0.14072637877490105,0.0,-0.010038813305388108,-0.014847812696049593,0.0016180749920022275
0.16736631888445122,-0.14072639184737154,0.0,-0.010038817207726735,-0.014847815979931825,0.0016180783292414486
0.007509161710719705,0.3081554648813714,0.0,-0.010038811367315577,-0.014847805617512989,0.0016180732266124487
0.0075091629716432075,-0.14072637877490105,0.0,-0.010038813305388108,-0.014847812696049593,0.0016180749920022275
0.007509162472658029,-0.14072638093280454,0.0,-0.005082079026809243,-0.014847810301871508,0.0016180781368166086
0.007509155767911588,-0.14072638645520788,0.0,-0.010038820842116037,0.0005396760646059762,0.0016180692415219053
0.0075091592984002364,-0.14072638555740322,0.0,-0.010038818008421595,-0.014847817475480621,-0.01822700332685295
0.16736632564347628,0.3081554388207345,0.0,-0.005082081748987568,0.0005396803944798245,-0.01822699708796186
-0.0921955996073666,-0.06880192122305744,0.0,0.0020280951151895876,0.03922389536096794,-0.01779229241335997
-0.020628947679942937,-0.06880192458649012,0.0,0.0020280965417623503,0.039223892458345906,-0.017792298170582695
