Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Y
0.114013671875,0.501220703125,0.796630859375,0.309326171875,0.257080078125,0.423095703125,0.22787641
0.688232421875,0.110107421875,0.796630859375,0.309326171875,0.257080078125,0.423095703125,0.3066288
0.688232421875,0.501220703125,0.668701171875,0.309326171875,0.257080078125,0.423095703125,0.3547542
0.688232421875,0.501220703125,0.796630859375,0.614013671875,0.257080078125,0.423095703125,0.3595751
0.688232421875,0.501220703125,0.796630859375,0.309326171875,0.868896484375,0.423095703125,0.30923548
0.688232421875,0.501220703125,0.796630859375,0.309326171875,0.257080078125,0.128662109375,0.36389017
0.114013671875,0.110107421875,0.668701171875,0.614013671875,0.868896484375,0.128662109375,0.1481891
0.938232421875,0.251220703125,0.046630859375,0.559326171875,0.007080078125,0.173095703125,0.45097166
0.864013671875,0.251220703125,0.046630859375,0.559326171875,0.007080078125,0.173095703125,0.41348884
0.938232421875,0.360107421875,0.046630859375,0.559326171875,0.007080078125,0.173095703125,0.4634071
0.938232421875,0.251220703125,0.918701171875,0.559326171875,0.007080078125,0.173095703125,0.45097166
0.938232421875,0.251220703125,0.046630859375,0.864013671875,0.007080078125,0.173095703125,0.4524291
0.938232421875,0.251220703125,0.046630859375,0.559326171875,0.618896484375,0.173095703125,0.3954231
0.938232421875,0.251220703125,0.046630859375,0.559326171875,0.007080078125,0.378662109375,0.44635427
0.864013671875,0.360107421875,0.918701171875,0.864013671875,0.618896484375,0.378662109375,0.36721575
0.438232421875,0.751220703125,0.546630859375,0.059326171875,0.507080078125,0.673095703125,0.3610421
0.364013671875,0.751220703125,0.546630859375,0.059326171875,0.507080078125,0.673095703125,0.34530088
0.438232421875,0.860107421875,0.546630859375,0.059326171875,0.507080078125,0.673095703125,0.52103907
0.438232421875,0.751220703125,0.418701171875,0.059326171875,0.507080078125,0.673095703125,0.3610421
0.438232421875,0.751220703125,0.546630859375,0.364013671875,0.507080078125,0.673095703125,0.3692264
0.438232421875,0.751220703125,0.546630859375,0.059326171875,0.118896484375,0.673095703125,0.41069797
0.438232421875,0.751220703125,0.546630859375,0.059326171875,0.507080078125,0.878662109375,0.4215297
0.364013671875,0.860107421875,0.418701171875,0.364013671875,0.118896484375,0.878662109375,0.62362564
0.313232421875,0.376220703125,0.921630859375,0.184326171875,0.632080078125,0.798095703125,0.22840066
0.989013671875,0.376220703125,0.921630859375,0.184326171875,0.632080078125,0.798095703125,0.458383
0.313232421875,0.485107421875,0.921630859375,0.184326171875,0.632080078125,0.798095703125,0.24685222
0.313232421875,0.376220703125,0.793701171875,0.184326171875,0.632080078125,0.798095703125,0.22840066
0.313232421875,0.376220703125,0.921630859375,0.739013671875,0.632080078125,0.798095703125,0.23717709
0.313232421875,0.376220703125,0.921630859375,0.184326171875,0.743896484375,0.798095703125,0.2246841
0.313232421875,0.376220703125,0.921630859375,0.184326171875,0.632080078125,0.753662109375,0.21624763
0.989013671875,0.485107421875,0.793701171875,0.739013671875,0.743896484375,0.753662109375,0.46974143
0.813232421875,0.876220703125,0.421630859375,0.684326171875,0.132080078125,0.298095703125,0.7377142
0.489013671875,0.876220703125,0.421630859375,0.684326171875,0.132080078125,0.298095703125,0.63457555
0.813232421875,0.985107421875,0.421630859375,0.684326171875,0.132080078125,0.298095703125,2.7158062
0.813232421875,0.876220703125,0.293701171875,0.684326171875,0.132080078125,0.298095703125,0.7377142
0.813232421875,0.876220703125,0.421630859375,0.239013671875,0.132080078125,0.298095703125,0.7306683
0.813232421875,0.876220703125,0.421630859375,0.684326171875,0.243896484375,0.298095703125,0.72396684
0.813232421875,0.876220703125,0.421630859375,0.684326171875,0.132080078125,0.253662109375,0.73836714
0.489013671875,0.985107421875,0.293701171875,0.239013671875,0.243896484375,0.253662109375,2.5925276
0.563232421875,0.126220703125,0.671630859375,0.434326171875,0.382080078125,0.048095703125,0.27616185
0.739013671875,0.126220703125,0.671630859375,0.434326171875,0.382080078125,0.048095703125,0.33132058
0.563232421875,0.735107421875,0.671630859375,0.434326171875,0.382080078125,0.048095703125,0.4177305
0.563232421875,0.126220703125,0.043701171875,0.434326171875,0.382080078125,0.048095703125,0.27616185
0.563232421875,0.126220703125,0.671630859375,0.489013671875,0.382080078125,0.048095703125,0.2770272
0.563232421875,0.126220703125,0.671630859375,0.434326171875,0.493896484375,0.048095703125,0.26599374
