Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.0,-0.00017782385963135972,-0.001281864970745311,-0.07912545861873548,0.0,0.0,-0.00019951726161216942,0.0,0.0,-0.003932974925950541,-0.0023961516652977574,0.015512691915011844,0.0,-0.0005096139689781331,-0.00105803441753567,0.0
0.0,-0.0001827210352397246,-0.0012614048900794982,-0.03234446039099811,0.0,0.0,-0.00020184152847139034,0.0,0.0,-0.0039300916831656275,-0.0024002651648151554,-0.00025480208466196374,0.0,-0.000509151219111766,-0.001058398697446084,0.0
0.0,-0.00018650688932085648,-0.0013069775265594878,-0.07921283635944755,0.0,0.0,-0.00020254941200970045,0.0,0.0,-0.0039194469133032985,-0.0023920698161196243,-0.0003041251314569869,0.0,-0.0005064444917699624,-0.0010599125125294135,0.0
0.0,-0.00018942823410631287,-0.0012759181373399521,-0.07912673674969027,0.0,0.0,-0.00019974254108415246,0.0,0.0,0.016844154925330333,-0.0023957748932043944,-0.0002608311972492774,0.0,-0.0005010359308487922,-0.0010583536850703999,0.0
0.0,-0.0007385789864471319,-0.0012478360200022316,0.22574881464028004,0.0,0.0,-0.00019812701608928895,0.0,0.0,0.008323366059203146,0.02868932999157034,-0.006494861047664407,0.0,-0.0004928065796846001,-0.0010619172236126517,0.0
0.0,-0.00018775829911889252,-0.0013075193455588997,-0.07921261645563676,0.0,0.0,-0.00020393050171020843,0.0,0.0,-0.0039203781643133324,-0.00239227256650948,-0.0003060063046945774,0.0,-0.00050345630913991,-0.0010569311058348492,0.0
0.0,-0.00019304213349782134,-0.0012829300957181633,-0.07910229295636574,0.0,0.0,0.007000774589094617,0.0,0.0,0.0007102236544756374,-0.0024173739801401947,-0.0002558057041004466,0.00841615747336126,0.009157536373840876,-0.0010796033945504053,0.0
0.0,-0.000189724586017459,-0.0013069195194976406,-0.07920758061858307,0.0,0.0,-0.0002086539649788918,0.0,0.0,-0.003919581124636098,-0.0023911139039053584,-0.0003054756066056354,0.0,-0.0005027449944637625,-0.0010590747338289806,0.0
0.0,-0.0001783663935894797,-0.0012498638271686794,0.3834082991670689,0.0,0.0,-0.00019386276409435554,0.0,0.0,-0.003934959196282505,-0.002405171760741571,-0.00025607076641993284,0.0,-0.0005038049110775941,-0.001062737278667668,0.0
0.0,-0.00017973792745429318,-0.0012510869507433183,0.2798318329062055,0.0,0.0,-0.00020210972974834987,0.0,0.0,-0.0039309228333239046,-0.002394478009355711,-0.0002527449235430331,0.0,-0.0005069168213827756,-0.0010605899323680816,0.0
0.0,-0.00018126284081876332,-0.001288794863104873,-0.07913117931323708,0.0,0.0,-0.00019924422219340284,0.0,0.0,-0.003931849653852078,-0.0023945117250520876,0.014473506754416793,0.0,-0.0004987062795367345,-0.0010594980636087178,0.0
0.0,0.0007331598190177043,-0.010880708563762614,-0.07909132004574698,0.0,0.0,-0.00020982453804584134,0.0,0.0,0.0009418220801755351,-0.0008911233912530729,0.0007276191142139396,0.0,-0.0005055573219268706,0.005854521367102343,0.0
0.0,0.0017296942390209486,-0.0013015966709941848,-0.07915971301262793,0.0,0.0,-0.00021071237443769097,0.0,0.0,-0.00392825198996436,-0.0023968847767470835,-0.0003023145349989499,0.0,-0.0005058060241754652,-0.0010588673163897514,0.0
0.0,-0.0001858588078852419,-0.001306695739814112,-0.07916035877574373,0.0,0.0,-0.00020182810715815326,0.0,0.0,-0.0018547678129655412,-0.002400518990781266,-0.00029678396248417906,0.0,-0.0005092348716682067,-0.0010611811326593401,0.0
0.0,-0.00018397193091821383,-0.0012540331601352242,0.023239762777053332,0.0,0.0,-0.0001936488950949852,0.0,0.0,-0.003934794031314881,-0.0023971929201766413,-0.0002511132167567234,0.0,-0.0005057430323715381,-0.0010590372097520004,0.0
0.0,0.0,-0.0012614662404190182,-0.07872190963064365,0.0,0.0,-0.00018594073652510035,0.0,0.0,-0.0035941720353200816,-0.002273939663002179,-0.00023519821112186052,-0.015246758103582635,-0.00048305282478960254,-0.0009986523717783722,0.0
0.0,-0.00018049183897939775,-0.001250567554475615,-0.0024182143088233984,0.0,0.0,-0.0001967651434469285,0.0,0.0,-0.0039319086236986565,-0.0023994112909255056,-0.0002549632348341975,0.0,-0.0005080945117922244,-0.0010609662818005503,0.0
