Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
0.1986488859326578,-0.013450504344892736,0.10376414307654945,-0.0007818345514812863,0.0,0.0023143067070712045,-0.03129927537703024,0.0027943678230468003
0.16334339867907618,0.004929461294228718,0.08711891918055481,0.0032801057727190317,0.0,-0.002517423659659934,-0.023834755918308723,-0.0007944907179132099
0.03939513766781429,0.0030595499839598454,0.11139917246225448,0.002129591054916408,0.00011538350901077465,-0.0011610144154362368,0.02234373577809559,-0.00046102590868913603
0.09343465857293266,-0.007876312770216195,0.15307386676096624,0.00841207291985999,5.534039145299596e-05,0.0024297916229392104,0.034670457742233325,0.0006783128382167911
-0.02495639224390852,-0.003266585271149753,-0.09667621166244104,-0.013235160638740256,-1.4152574320386302e-05,-0.0014994150719207983,-0.021979037197713935,0.0009356280287129249
-0.050820286955717546,-0.0050828798390537226,-0.08034847570671402,0.0015502075442631353,0.00014431172114148794,0.0011684389375093774,-0.03181667121539648,0.002111069561427335
0.10243908039491877,-0.006827233740048355,-0.07880994042435893,0.01852932070159797,4.4628864786762715e-05,-0.0011171132147781222,-0.043986062471402416,0.0002845725910394801
-0.09724053866735158,0.002433536798184089,-0.014373428504941787,-0.0036708151260119106,0.0006509829110374484,-0.0003927185864608246,0.0009748444491053134,0.0018582820878484565
0.06971227763110449,0.012966562340716874,-0.034170151576838205,0.014471243307907344,2.7772220189035968e-05,0.0024355686780010628,-0.030211043184657768,0.002961432641582333
-0.09945109613755626,0.006820975544670194,0.12861652602522242,0.014306625237277446,-0.0010548694445781798,0.0021792285252540023,-0.019517948951619145,-0.0013589651035200254
-0.13170130809112668,-0.0132201106146309,0.08951336502801988,0.005208362221497371,0.00010324808533678995,-0.001481006796069801,0.03169066809930759,-0.00152224996401151
-0.0911467969915817,-0.002133720387726308,0.07277080692363251,-0.01862175533747245,0.0007904791090067792,0.001089725822212866,0.04202534864996268,0.0005184734712466868
0.22053572100870064,-0.007974796558207735,0.14323310102955705,-0.0036168868401604986,0.0,0.0016004438492462358,-0.02633397789167918,0.0038314473596508134
0.010000172989136002,0.008243362145269785,-0.0892388087234001,0.004574153332875846,0.0007070742258348512,0.0006975249464997872,-0.0031996564731181657,-0.000831685660378792
-0.10270539167886661,0.0032030403304995777,-0.03457263175160662,0.017041447967404994,5.173429585410283e-05,-0.002022572419061138,0.006611015099204672,0.0006678838749625203
-0.0403528060644944,-0.010067258956776784,-0.032433167102945665,0.004240201601336998,0.0004104811287708454,-0.0010549725551452901,-0.009704915748660153,0.0020268269314498394
0.0713438194606464,-0.006430776767614008,-0.015061290091812202,0.01784338923754004,3.449866209356833e-05,0.0014310990001633731,-0.011271696399223537,0.0006305081124207927
0.15369102390952805,0.0031264674987731525,-0.09810476036005247,0.00862385259302807,0.0,-0.00010056263569170609,-0.000914642874597534,-0.002431334002752982
-0.05772150497072137,0.0076131371458893725,-0.08287654260613615,0.017379225131173664,9.030245347402266e-05,0.0004890990232741786,-0.02479117853101604,-0.0006465425078413185
-0.008945543804989057,0.005200984456696816,-0.10313827854660859,0.012622594401390998,0.00018574795544809564,0.000270242241973901,-0.004158252631750909,-0.0004734910140051867
-0.06647921398437118,0.006471304961463503,-0.05707169231825212,-0.015191971325163717,8.912684874290422e-05,-0.00227040473125116,-0.02992636495645913,0.0004040323671537634
-0.07117790113070464,-0.0025686488278841295,0.003175289412992826,-0.01182640812850333,-0.00028773148538586795,0.002202460887806566,0.0003991353629458766,-0.001688375853691541
-0.1031310608428327,0.013677044281529441,0.1284287979705531,0.01938645881010143,0.0006090250209468514,0.00129859470989805,0.00022592105667029738,-0.0012838481553915694
0.22187376560685718,-0.013779776451960194,-0.04648003394033143,0.016517623634673028,0.0,0.0012149203848978718,0.003458075863333685,0.0015117513591698971
-0.05612850054702709,-0.0031282189820162993,-0.06490301150406819,-0.009179838019662677,-2.7433078057470528e-05,0.0001401015735018293,-0.02791205191553055,-0.0005925648607401462
-0.06425904713843374,-5.109041068467046e-05,0.13148863301524308,0.007299631053237817,-0.00038451194702582357,0.0016274281941801084,0.02096095473014697,0.0003339304380647205
-0.04651760627696673,-0.00732432933327215,0.11299634322295463,-0.007538953943169363,-0.0010148977489173039,0.0002643752239356728,0.044095514896137174,-0.0002950456559889253
-0.11150201842588851,-0.010352232988047614,-0.010790485217355317,-0.007562320227770477,7.339616887580558e-05,-0.00048484400420385217,-0.017735976224204492,0.0014490844092093164
-0.03577991692619537,0.002531517705757483,-0.04808236989149413,-0.016755997469706966,0.000740735809082925,0.0014912709445603152,0.043688444626395116,-0.0008181500421545293
0.04673440102911773,-0.010526250784685403,0.03162925246464259,0.016617928612216868,0.0,0.0007007593385520844,-0.019395743410649376,0.0018134521246741019
0.07974869620888601,-0.009902453112847119,0.10394137157243057,0.004623708713087033,-0.0001044341152199868,0.001690819181736108,0.017424568139798806,-0.001205604064598903
0.04992334453898243,-0.006714190382787124,0.05068747783893115,0.00666819211618245,0.0,-0.0012470711534058093,-0.04568482184176836,-0.00017968014022021195
-0.11224915019646126,-0.00256228265401508,-0.04956311837617348,-0.0074699542413537694,-0.00014668557557782913,-0.001972113427227153,0.031198799901705463,0.0002335056190340412
0.0744630693429159,-0.008300651904606693,0.026209674885275317,0.009234605875712672,0.0,0.0009360593177872856,-0.013264730773356161,0.0029482880894814863
0.16036670848318763,0.008752211016045024,0.06744660730928896,-0.008133946088449483,-6.472704651191985e-05,-0.002023664232629295,0.02355765337762136,-0.0003761462974185827
-0.046153347352905355,-0.005718193108210451,-0.08066445884237221,-0.015514682824404909,-2.2140811109433445e-05,0.0010479739037939733,-0.03654059574896477,-0.001174893723357727
-0.019666222346676376,-0.011431183192520204,0.12509539889341517,0.006019773382816507,-0.000273943992322806,-0.0012511011907290531,-0.0256252297857939,-0.0003699420245480775
-0.040885244415689984,-0.0010847738613644028,0.021355862128194576,-0.008008473727484292,-0.00031182959105266055,-0.0021301385327786534,-0.017415399641545638,-4.133660225160568e-05
0.14849560946636076,0.0014749670837005228,0.09777343256773105,0.004428921054873407,0.0,0.00043970217662261946,-0.045164401103060095,-0.0029492444860927352
